region,year,Total_Exp,Approved_Labour_Budget,Average_Wage_rate_per_day_per_person,Total_Households_Worked,Total_Individuals_Worked,Average_days_of_employment_provided_per_Household,Persondays_of_Central_Liability_so_far,SC_persondays,ST_persondays,Women_Persondays,Differently_abled_persons_worked,Material_and_skilled_Wages,Wages,Total_Adm_Expenditure,Total_No_of_HHs_completed_100_Days_of_Wage_Employment,percentage_payments_generated_within_15_days,Number_of_Completed_Works,Number_of_Ongoing_Works,Total_No_of_JobCards_issued,Total_No_of_Works_Takenup,exp_per_household,wage_share_ratio,sc_participation_percent,st_participation_percent,diff_abled_participation_ratio,women_participation_ratio,employment_fulfillment_ratio,labour_budget_utilization_ratio,work_completion_ratio
South,2019,269896.76269,60194937.0,221.99808266666665,2136904,3413828,52.166666666666664,112551830,11729300,13671773,72186920,63547,9527.25146,249852.52772,10516.98351,114682,99.94,89641,376350,3130308,465991,0.12630270835283194,0.9257336962095297,10.421243261882102,12.14709081140662,1.8614587495327826,64.13660266563413,0.5216666666666666,0.004483712021992813,0.19236637617464716
South,2020,6433028.05205,959523120.5,227.99818136041665,34722067,57712188,48.041666666666664,1704453407,381743424,200837380,963109292,667672,2366712.14449,3901832.27318,164483.63435,3409022,99.94,3544048,7462205,70590579,11006253,0.18527203613915036,0.6065312076381527,22.39682366395129,11.783095928300726,1.156899475029434,56.50546316165743,0.48041666666666666,0.006704401295403699,0.32200313767092215
South,2021,2811465.66011,501624475.0,226.39598898399998,16657555,27087934,50.66,852957915,200553364,102302366,481611210,319717,838452.490927,1928722.42272,44290.74646,1756116,99.9426,1333273,3359773,38455150,4693046,0.16878021174836283,0.6860202669679906,23.512691596278813,11.993835123741128,1.1802930411747163,56.463654481710265,0.5065999999999999,0.005604721859135761,0.28409544675249293
South,2022,1667720.1602,407076456.0,231.47725105633805,9779102,15859976,41.08450704225352,414508896,108145530,81325867,233351135,161158,648875.585201,959594.324955,59250.25001,184595,99.94,581102,3063637,16701485,3644739,0.17053919267842793,0.5753928913588964,26.090038366751966,19.619812212667203,1.0161301631225672,56.29580866703522,0.4108450704225352,0.004096822932446872,0.15943583340261128
South,2023,7328078.314941,1881673699.0,244.57800048807692,44196888,70994992,46.238461538461536,2112636452,484064889,228063043,1272028372,763984,1944127.9068191,5168272.270729,215678.13743,2591454,99.97288461538461,4016366,8725634,68090204,12742000,0.16580530092845,0.7052697922443819,22.912834271213267,10.795186402473378,1.0761097064423926,60.21047165004612,0.46238461538461534,0.0038944469058771703,0.31520687490189925
South,2024,159300234.809642,38833475071.0,260.2660540620452,1116239562,1749297257,38.87803197353914,46370251468,10157938940,5922392992,27908823401,18657026,34298693.5848466,119675169.875715,5326371.34921,44035018,99.97302094818082,54020916,238053011,1893221132,292073927,0.14271151124962725,0.7512554518122494,21.90615452454462,12.771966518419745,1.0665440607845187,60.18691406118385,0.3887803197353914,0.004102136996969503,0.18495631073567206
Northeast,2018,21368.3868048,12156981.0,243.9302131111111,277491,429770,17.333333333333332,5364975,119468,98990,1992611,1922,7963.1343412,13286.227234,119.02523000000001,70,99.94,4700,82413,1873983,87113,0.07700569317491378,0.6217702513235815,2.22681373165765,1.8451157740716408,0.44721595271889614,37.14110503776812,0.1733333333333333,0.0017577050424607886,0.053952911735332267
Northeast,2019,838.2115802999999,327604.0,252.5210229,26649,38597,11.0,326584,17328,11170,123899,124,19.77202325,818.439557,0.0,0,99.94,1153,13979,473245,15132,0.03145377238545536,0.9764116557624707,5.305832496386841,3.420253288587316,0.3212684923698733,37.93786590892389,0.11,0.00255861216682336,0.07619614062913033
Northeast,2020,6.047000000000001,2420.0,250.7842584,462,588,4.5,2414,128,46,1029,5,0.0,6.047000000000001,0.0,0,100.0,26,19461,398604,19487,0.01308874458874459,1.0,5.302402651201326,1.9055509527754766,0.8503401360544218,42.62634631317316,0.045,0.0024987603305785125,0.00133422281521014
Northeast,2021,70588.659622,27285376.0,238.00816075333333,1158064,1661704,21.8,27817089,586105,2132475,11917245,2320,3671.02325724,66500.756368,416.88,880,99.92666666666668,21872,427494,4587523,449366,0.06095402294001023,0.9420883853597647,2.1069961705913944,7.666060959865355,0.13961571976717874,42.84145260490773,0.218,0.0025870510130408322,0.048673019320553845
Northeast,2022,242019.3947787,98793427.0,239.3287081554054,3391221,5098068,24.405405405405407,94629746,3561455,30684518,48096876,7558,17395.21013257,224624.184649,0.0,21211,99.93364864864866,323840,1513167,12922885,1837007,0.07136644729986633,0.9281247267575147,3.7635681702030563,32.42586955691501,0.14825223986812258,50.82638180176453,0.24405405405405406,0.00244975199391251,0.17628675339832672
Northeast,2023,1485718.98163279,562788321.0,240.59356856853148,15788923,23596941,33.8986013986014,559686540,34915610,92580208,280035996,39110,139670.939284205,1346048.042402,0.0,71501,99.91930069930069,3720833,7399085,56451993,11119918,0.09409881735649671,0.9059910111148387,6.238422314033137,16.541439070519722,0.16574182221331146,50.03443463192808,0.338986013986014,0.0026399250414309685,0.334609751618672
Northeast,2024,26831901.2697075,11374600252.0,249.81118827566883,307051962,414890234,26.114621771217713,9022869097,501853607,2108310984,4917102509,622481,4308198.58455877,22523702.6851183,0.0,1411977,99.90169165129151,101603930,121925209,1652323151,223529139,0.08738553922579234,0.8394374464453981,5.562018041100258,23.366303570789796,0.1500351054298376,54.495997405469176,0.2611462177121771,0.002358931362444112,0.4545444520322695
East,2021,864104.457905,292488167.0,212.31277585084746,5987221,6700402,31.64406779661017,194976531,20096960,2230163,104504078,7974,443194.479444,414753.56385700003,6156.4146,9034,99.94,1630583,2768341,41577670,4398924,0.1443247974151948,0.47998081720647506,10.307373865421782,1.143810995385901,0.11900778490603996,53.59828563161789,0.3164406779661017,0.0029543227911336322,0.37067769299946984
East,2022,3478896.143062,1338782487.5,213.80029477557252,30734507,35456556,42.24809160305343,1317384017,220426597,24168027,745745133,52657,627094.60103346,2818276.768465,33524.77363,159581,99.94381679389312,5600562,8348224,103457310,13948786,0.11319186421509869,0.8101066121463614,16.73214447386149,1.8345468510416882,0.14851132185539961,56.60802950215237,0.42248091603053434,0.0025985521737428613,0.4015089198443506
East,2023,4934400.1007126,1601783141.0,227.80814218338026,37553976,41893856,37.712676056338026,1453383004,263065979,27313345,787469764,73286,1588487.0550594,3306298.614602,39614.43106,140095,99.94197183098592,4598433,8125497,128152557,12723930,0.13139487815384981,0.6700507755997577,18.10025150122094,1.8792943721529856,0.17493257245167407,54.18184758131381,0.37712676056338024,0.0030805668847482272,0.36140036922554586
East,2024,112334513.9175065,34838235980.0,247.54047265061212,856140803,937314531,36.2157273629646,32895939157,6501587569,668374763,17919603196,1449807,30326857.449578,80987184.5848568,1020471.88633,2405862,99.92845814492114,49370588,199151346,3439518874,248521934,0.13121032606304422,0.7209465885465103,19.76410382439716,2.0317850170201783,0.1546766802444888,54.473602685354095,0.362157273629646,0.0032244604457583818,0.19865686382434156
Central,2018,3092957.1081119,1263923539.0,164.00519101883407,26584947,43844252,42.41479820627803,1152459468,198808204,376594976,409703974,376125,1201540.7453224,1891414.0119327,2.3508400000000003,269022,99.94,7330798,7952793,69107638,15283591,0.11634242145045089,0.6115228714203917,17.250776232939067,32.67750289331651,0.8578661576892679,35.55040202073293,0.42414798206278026,0.00244710776615412,0.47965154262502835
Central,2019,2923595.8171096,1377964640.0,166.44674372312252,27440149,45238288,43.87549407114624,1239998614,176021687,404400323,468807337,399829,854641.3302532,2068954.4868822,0.0,413255,99.93480237154151,3260767,6994346,80105318,10255113,0.10654445852716034,0.7076745953644381,14.195313205406535,32.61296572707298,0.8838287602749246,37.80708556501661,0.4387549407114624,0.002121676951819025,0.3179649995080503
Central,2020,5234666.5681866,2318145705.5,172.63484433426297,43668864,80061325,48.800796812749006,2234765418,301225783,759936465,906594800,658692,1357217.8818702,3877448.6863515,0.0,1376837,99.91278884462152,4876456,8933956,87575205,13810412,0.11987182831654608,0.7407250559026018,13.479078411262583,34.00520067471351,0.8227343227207393,40.567783656297834,0.48800796812749003,0.002258126637927419,0.35309996544636035
Central,2021,5862185.6799757,2213927621.0,177.55257771265596,46634395,84250188,46.771836007130126,2266005710,287699176,735089590,929839214,627180,1775995.97672396,4065446.376329,20743.32704,1040735,99.91424242424242,3886774,15082601,100683984,18969375,0.12570519420216988,0.6935035152871263,12.696312932062293,32.43988251026958,0.7444256385516909,41.034283801517866,0.46771836007130124,0.002647866906022805,0.20489731475074957
Central,2022,5540853.4116632,1717664987.0,189.69624602006863,40434155,66684573,40.495711835334475,1723538043,239707331,547968039,720215480,530600,1983268.884216,3322684.6350474,234899.8924,529886,99.91548885077187,6809470,16160430,99711979,22969900,0.13703398554175794,0.5996701930524505,13.907864231575887,31.793208233814426,0.7956862826429135,41.787037015231114,0.40495711835334475,0.003225805645221084,0.2964518783277245
Central,2023,4727120.2338632,1623513423.0,200.50680024964538,34231099,52429971,36.63652482269504,1351686970,170966037,419718021,581851639,450083,1688805.307148092,2758635.7439702,279679.18274,366756,99.9050354609929,5463120,9363188,94446873,14826308,0.1380943169210898,0.5835763863606506,12.648345422757165,31.051421691221897,0.8584460212652035,43.04633039408525,0.3663652482269504,0.002911660702581823,0.3684747409806946
Central,2024,86164406.697353,29929096679.0,232.65647913743592,637532803,919070026,33.32413466845384,23280899080,2913962130,7516708808,10114482656,7656957,25109981.45798883,53917010.6532525,7137414.58637,4572116,99.82702120949303,55143947,153766924,2212839089,208910871,0.1351528992577234,0.6257457425852483,12.516536066699018,32.287021141968715,0.833120086978008,43.44541257295807,0.33324134668453836,0.0028789511297817078,0.2639592029655556
West,2018,1101234.5172072,420406256.0,197.05628935804197,10043879,17843031,35.33566433566433,383897927,38844492,79993611,157067910,66720,298147.3931638,758939.71978,44147.4042642,727893,99.93590909090908,1733677,5189071,78828901,6922748,0.1096423520441853,0.6891717503595137,10.118442759916231,20.837208375964998,0.37392750144300035,40.91397711558885,0.35335664335664335,0.0026194532110083535,0.2504319094093848
West,2019,967148.1672485,464317207.0,203.89620676592355,9167362,16128669,33.105095541401276,330492019,35829826,65173571,136831556,59254,242997.07813986,676286.0780872001,47865.01105,610633,99.90703821656051,1875984,5564191,88561472,7440175,0.10549907020672905,0.6992579844422477,10.841358925523705,19.72016486122771,0.36738307420159716,41.40237831280277,0.33105095541401275,0.002082947072966219,0.2521424563266321
West,2020,974759.08730408,393039095.0,220.85230782438273,10358246,18839348,31.694444444444443,360722801,30769976,108275736,147684947,61382,131286.49702864,791404.9595833,52067.63068,656775,99.90391975308641,1548531,6386611,95432698,7935142,0.09410464737988265,0.8118980062777482,8.530089008706716,30.01632713536176,0.3258180697123913,40.94139505198619,0.3169444444444444,0.0024800563091671073,0.19514849261676728
West,2021,1298002.6709236,619387992.0,235.51676462872064,14869477,26265212,26.64751958224543,441828871,38854040,99243347,191278859,114444,232874.89113889,1037929.9687739,27197.81105,728210,99.93313315926893,1516691,9570798,135622665,11087489,0.08729309517231844,0.7996362349819789,8.79391152326938,22.461942510769063,0.4357246383543373,43.292521506590276,0.26647519582245427,0.002095621303106567,0.13679301057254714
West,2022,1881108.5182797,497895198.0,244.78168945013851,16315795,28489795,28.224376731301938,533012516,41270072,116684387,241919608,96215,518677.32802319,1312825.5868394999,49605.60341,810113,99.92584487534624,2105238,9999566,139226999,12104804,0.11529370884346733,0.6978999744470336,7.742796043461013,21.891491005813453,0.33771741776309727,45.387228392963294,0.28224376731301937,0.0037781214316505623,0.17391756198613376
West,2023,2295531.83446296,594007786.0,258.7054527685484,17926400,29815895,28.75537634408602,628991219,46992438,110345450,282180553,124022,640948.96206315,1603257.9141837,51324.95819,1142032,99.90763440860215,2106973,10441010,147155185,12547983,0.1280531414262183,0.6984254760112192,7.471080132837275,17.543241728466803,0.41595933980851485,44.86239942246316,0.2875537634408602,0.0038644810532213456,0.16791328136163397
West,2024,80651725.0968403,17156027732.0,293.3412438473163,530328316,875704971,33.87847417576235,21273217748,1323256422,3139210966,9599966196,3790079,17453788.772283394,61000492.5469085,2197443.77664,41478578,99.84541577585236,49801118,269448331,3683146576,319249449,0.15207885881929847,0.7563445477906872,6.220292753428925,14.756634389713483,0.43280318435008636,45.12700574835483,0.3387847417576235,0.004701072203701676,0.15599437416726755
North,2018,1051241.974041,335454410.0,153.44350387951806,8972753,13607686,39.57831325301205,400256745,84111931,65305974,232611033,27702,402985.0851904,617641.9179230001,30614.97097,315094,99.94000000000001,641700,1961845,27199576,2603545,0.11715935722748637,0.5875354420531453,21.01449433413046,16.316020858061993,0.20357612602172037,58.115456118047426,0.3957831325301205,0.0031337849278565157,0.24647163770935399
North,2019,2834596.574452,1172609274.5,156.47520925935828,27634072,40042975,49.0427807486631,1413900029,315921425,326808812,911247064,111726,446133.1050654,2213965.971392,174497.49798,1925425,99.94887700534758,1539708,3796625,61544706,5336333,0.10257614492905714,0.7810515229385036,22.343971887704093,23.113997121220798,0.2790152330090359,64.44918631513798,0.490427807486631,0.002417341083764386,0.28853296823867625
North,2020,5308173.9694356,1847834820.0,164.5491425976744,52076588,75457476,47.82170542635659,2624287942,548401073,689199263,1698029389,226389,718151.6365092,4335404.460379,254617.87255,3195394,99.95027131782945,2114232,5638630,87803547,7752862,0.10193014122652581,0.8167412155935743,20.897138009255844,26.262333944755824,0.30002196203859244,64.70438559062663,0.47821705426356587,0.002872645277587961,0.27270342229746897
North,2021,6860778.529361,2038106785.5,176.59653233372435,59272805,81151535,39.302052785923756,2674837790,542851442,638340164,1767796039,252230,1744225.1217021,4770103.511173,346449.89658,2911543,99.93697947214076,2132510,7818524,124242432,9951034,0.11574917922917602,0.695271460922275,20.294742508479366,23.864630834305657,0.3108135908951075,66.08984087218238,0.3930205278592376,0.0033662507667270606,0.21430034305982676
North,2022,6137906.349706,1846503752.5,181.35145231146132,53255930,71804668,39.10315186246418,2285721781,481331515,562520275,1535315499,255556,1827502.6310857001,4202496.945251,107906.77348,1464216,99.93836676217765,2338590,8800182,121020586,11138772,0.11525301219424766,0.6846792221670661,21.05818472751387,24.61018132985101,0.3559044378563243,67.16983281877384,0.3910315186246418,0.003324069253255417,0.20995043259705828
North,2023,5828887.518696,1987011277.0,191.44214996077346,56157876,74160881,39.5828729281768,2530310039,512686013,630384734,1721420401,263752,785103.4865635,4963236.802479,80547.22974,1227110,99.93662983425413,1976042,7400248,125365438,9376290,0.10379465773769649,0.8514895486590797,20.2617863067333,24.913339641537895,0.3556484179307417,68.03199507046655,0.395828729281768,0.0029334949359202857,0.21074881429648615
North,2024,147988142.2955932,44417743052.0,218.8496132910622,1181657741,1495852562,35.53872633390706,47299895860,9557440043,12428933021,32806914996,5624747,41565018.7586448,103460275.083442,2962848.45484,24030787,99.86817310056553,49387795,149211398,2858708113,198599193,0.12523773776521402,0.6991119253108081,20.206048806721412,26.27687185144682,0.37602282089081984,69.35938102930108,0.35538726333907056,0.0033317348457426797,0.24868074363222614
